Section	Account Type	Detail Type	
Liability	Current Liabilities	Dividends Payable	
Liability	Current Liabilities	Income Tax Payable	
Liability	Current Liabilities	Insurance Payable	
Liability	Current Liabilities	Line Of Credit	
Liability	Current Liabilities	Loan Payable	
Liability	Current Liabilities	Other Current Liabilities	
Liability	Current Liabilities	Payroll Clearing	
Liability	Current Liabilities	Payroll Liabilities	
Liability	Current Liabilities	Prepaid Expenses Payable	
Liability	Current Liabilities	Rents In Trust - Liability	
Liability	Current Liabilities	Sales And Service Tax Payable	
Liability	Non-Current Liabilities	Accrued Holiday Payable	
Liability	Non-Current Liabilities	Accrued Non-Current Liabilities	
Liability	Non-Current Liabilities	Liabilities Related To Assets Held For Sale	
Liability	Non-Current Liabilities	Long-Term Debt	
Liability	Non-Current Liabilities	Notes Payable	
Liability	Non-Current Liabilities	Other Non-Current Liabilities	
Liability	Non-Current Liabilities	Shareholder Notes Payable	
Equity	Owner's Equity	Accumulated Adjustment	
Equity	Owner's Equity	Dividend Disbursed	
Equity	Owner's Equity	Equity In Earnings Of Subsidiaries	
Equity	Owner's Equity	Opening Balance Equity	
Equity	Owner's Equity	Ordinary Shares	
Equity	Owner's Equity	Other Comprehensive Income	
Equity	Owner's Equity	Owner's Equity	
Equity	Owner's Equity	Paid-in Capital Or Surplus	
Equity	Owner's Equity	Partner Contributions	
Equity	Owner's Equity	Partner Distributions	
Equity	Owner's Equity	Partner's Equity	
Equity	Owner's Equity	Preferred Shares	
Equity	Owner's Equity	Retained Earnings	
Equity	Owner's Equity	Share Capital	
Equity	Owner's Equity	Treasury Shares	
Income	Income	Discounts/Refunds Given	
Income	Income	Non-Profit Income	
Income	Income	Other Primary Income	
Income	Income	Revenue - General	
Income	Income	Sales - Retail	
Income	Income	Sales - Wholesale	
Income	Income	Sales Of Product Income	
Income	Income	Service/Fee Income	
Income	Income	Unapplied Cash Payment Income	
Income	Other Income	Dividend Income	
Income	Other Income	Interest Earned	
Income	Other Income	Loss On Disposal Of Assets	
Income	Other Income	Other Investment Income	
Income	Other Income	Other Miscellaneous Income	
Income	Other Income	Other Operating Income	
Income	Other Income	Tax-Exempt Interest	
Income	Other Income	"Unrealised Loss On Securities, Net Of Tax"	
Expense	Cost Of Sales	Cost Of Labour – COS	
Expense	Cost Of Sales	Equipment Rental – COS	
Expense	Cost Of Sales	Freight And Delivery – COS	
Expense	Cost Of Sales	Other Costs Of Sales – COS	
Expense	Cost Of Sales	Supplies And Materials – COS	
Expense	Expenses	Advertising/Promotional	
Expense	Expenses	Amortisation Expense	
Expense	Expenses	Auto	
Expense	Expenses	Bad Debts	
Expense	Expenses	Bank Charges	
Expense	Expenses	Charitable Contributions	
Expense	Expenses	Commissions And Fees	
Expense	Expenses	Cost Of Labour	
Expense	Expenses	Dues And Subscriptions	
Expense	Expenses	Equipment Rental	
Expense	Expenses	Finance Costs	
Expense	Expenses	Income Tax Expense	
Expense	Expenses	Insurance	
Expense	Expenses	Interest Paid	
Expense	Expenses	Legal And Professional Fees	
Expense	Expenses	"Loss On Discontinued Operations, Net Of Tax"	
Expense	Expenses	Management Compensation	
Expense	Expenses	Meals And Entertainment	
Expense	Expenses	Office/General Administrative Expenses	
Expense	Expenses	Other Miscellaneous Service Cost	
Expense	Expenses	Other Selling Expenses	
Expense	Expenses	Payroll Expenses	
Expense	Expenses	Rent Or Lease Of Buildings	
Expense	Expenses	Repair And Maintenance	
Expense	Expenses	Shipping And Delivery Expense	
Expense	Expenses	Supplies And Materials	
Expense	Expenses	Taxes Paid	
Expense	Expenses	Travel Expenses – General And Admin Expenses	
Expense	Expenses	Travel Expenses – Selling Expense	
Expense	Expenses	Unapplied Cash Bill Payment Expense	
Expense	Expenses	Utilities	
Expense	Other Expense	Amortisation	
Expense	Other Expense	Depreciation	
Expense	Other Expense	Exchange Gain Or Loss	
Expense	Other Expense	Other Expense	
Expense	Other Expense	Penalties And Settlements	
			
